run_ts,code_version,window_start,window_end,offset_days,lookback_days,max_bars_since_break,symbol,bos_hits,choch_confirmed_hits,both_hits,total_hits,steps,combined_rate_pct,bos_episodes,choch_confirmed_episodes,both_episodes,total_episodes
2026-08-03T16:15:15.933588+00:00,e491054-dirty,2026-05-05T17:00:00+00:00,2026-08-03T16:00:00+00:00,0,90,10,EURUSD,28,4,0,32,537,5.96,14,3,0,17
2026-08-03T16:15:15.933588+00:00,e491054-dirty,2026-05-05T17:00:00+00:00,2026-08-03T16:00:00+00:00,0,90,10,GBPUSD,1,12,3,16,537,2.98,1,8,2,11
2026-08-03T16:15:15.933588+00:00,e491054-dirty,2026-05-05T17:00:00+00:00,2026-08-03T16:00:00+00:00,0,90,10,USDJPY,17,14,0,31,537,5.77,12,6,0,18
2026-08-03T16:15:15.933588+00:00,e491054-dirty,2026-05-05T17:00:00+00:00,2026-08-03T16:00:00+00:00,0,90,10,XAUUSD,19,9,0,28,491,5.7,12,6,0,18
2026-08-03T16:15:15.933588+00:00,e491054-dirty,2026-05-05T17:00:00+00:00,2026-08-03T16:00:00+00:00,0,90,10,ALL,65,39,3,107,2102,5.09,39,23,2,64
2026-08-03T16:18:15.937424+00:00,e491054-dirty,2026-02-04T17:00:00+00:00,2026-05-05T16:00:00+00:00,90,90,10,EURUSD,24,4,3,31,537,5.77,15,3,1,19
2026-08-03T16:18:15.937424+00:00,e491054-dirty,2026-02-04T17:00:00+00:00,2026-05-05T16:00:00+00:00,90,90,10,GBPUSD,17,9,4,30,537,5.59,12,6,2,20
2026-08-03T16:18:15.937424+00:00,e491054-dirty,2026-02-04T17:00:00+00:00,2026-05-05T16:00:00+00:00,90,90,10,USDJPY,22,18,1,41,537,7.64,12,9,1,22
2026-08-03T16:18:15.937424+00:00,e491054-dirty,2026-02-04T17:00:00+00:00,2026-05-05T16:00:00+00:00,90,90,10,XAUUSD,21,14,0,35,471,7.43,14,10,0,24
2026-08-03T16:18:15.937424+00:00,e491054-dirty,2026-02-04T17:00:00+00:00,2026-05-05T16:00:00+00:00,90,90,10,ALL,84,45,8,137,2082,6.58,53,28,4,85
2026-08-03T16:19:27.151298+00:00,e491054-dirty,2025-11-06T17:00:00+00:00,2026-02-04T16:00:00+00:00,180,90,10,EURUSD,26,21,2,49,489,10.02,16,10,1,27
2026-08-03T16:19:27.151298+00:00,e491054-dirty,2025-11-06T17:00:00+00:00,2026-02-04T16:00:00+00:00,180,90,10,GBPUSD,22,4,1,27,489,5.52,15,2,1,18
2026-08-03T16:19:27.151298+00:00,e491054-dirty,2025-11-06T17:00:00+00:00,2026-02-04T16:00:00+00:00,180,90,10,USDJPY,28,12,10,50,489,10.22,17,6,4,27
2026-08-03T16:19:27.151298+00:00,e491054-dirty,2025-11-06T17:00:00+00:00,2026-02-04T16:00:00+00:00,180,90,10,XAUUSD,19,3,3,25,467,5.35,17,3,3,23
2026-08-03T16:19:27.151298+00:00,e491054-dirty,2025-11-06T17:00:00+00:00,2026-02-04T16:00:00+00:00,180,90,10,ALL,95,40,16,151,1934,7.81,65,21,9,95
2026-08-04T14:10:25.078023+00:00,9ef00f5-dirty,2026-05-06T15:00:00+00:00,2026-08-04T14:00:00+00:00,0,90,10,EURUSD,26,6,1,33,536,6.16,12,4,1,17
2026-08-04T14:10:25.078023+00:00,9ef00f5-dirty,2026-05-06T15:00:00+00:00,2026-08-04T14:00:00+00:00,0,90,10,GBPUSD,0,8,3,11,536,2.05,0,5,2,7
2026-08-04T14:10:25.078023+00:00,9ef00f5-dirty,2026-05-06T15:00:00+00:00,2026-08-04T14:00:00+00:00,0,90,10,USDJPY,17,14,3,34,536,6.34,12,6,1,19
2026-08-04T14:10:25.078023+00:00,9ef00f5-dirty,2026-05-06T15:00:00+00:00,2026-08-04T14:00:00+00:00,0,90,10,XAUUSD,12,9,0,21,490,4.29,7,6,0,13
